txn_id,account_id,txn_date,txn_type,amount,channel
TXN00000023,ACC00003051,2023-06-25 16:48:43,TRANSFER,74394.83,MOBILE
TXN00000024,ACC00005526,2023-02-26 08:09:12,PAYMENT,70710.13,ATM
TXN00000025,ACC00007179,2023-10-06 11:21:10,TRANSFER,180.21,BRANCH
TXN00000026,ACC00008331,2023-11-27 08:44:24,PAYMENT,38485.08,ATM
TXN00000027,ACC00001049,2023-05-23 20:56:06,TRANSFER,74472.41,ONLINE
TXN00000028,ACC00006852,2023-10-26 22:41:41,WITHDRAWAL,49106.49,ONLINE
TXN00000029,ACC00003154,2023-04-02 05:51:12,PAYMENT,852.58,ONLINE
TXN00000030,ACC00005313,2023-02-08 23:50:21,PAYMENT,99918.12,POS
TXN00000031,ACC00005341,2023-10-16 09:51:01,PAYMENT,98938.83,MOBILE
TXN00000032,ACC00006221,2023-06-12 11:25:30,WITHDRAWAL,40602.62,ONLINE
TXN00000033,ACC00009628,2023-02-02 23:14:59,WITHDRAWAL,33313.40,BRANCH
TXN00000034,ACC00002249,2023-02-07 14:07:37,WITHDRAWAL,41414.31,MOBILE
TXN00000035,ACC00009104,2023-03-20 11:52:59,WITHDRAWAL,42611.54,BRANCH
TXN00000036,ACC00003897,2023-05-17 13:48:00,DEPOSIT,5404.85,MOBILE
TXN00000037,ACC00005754,2023-06-02 06:42:43,PAYMENT,86027.86,POS
TXN00000038,ACC00002310,2023-05-18 11:49:45,WITHDRAWAL,60151.68,POS
TXN00000039,ACC00004042,2023-11-28 10:25:55,WITHDRAWAL,20734.04,ONLINE
TXN00000040,ACC00001243,2023-03-15 10:33:13,TRANSFER,55302.23,BRANCH
TXN00000041,ACC00006317,2023-09-20 16:43:53,PAYMENT,15482.65,POS
TXN00000042,ACC00009554,2023-01-01 21:51:26,TRANSFER,24881.75,ATM
TXN00000043,ACC00004894,2023-04-20 01:39:13,DEPOSIT,51255.57,POS
TXN00000044,ACC00004858,2023-07-21 19:36:15,PAYMENT,86612.39,BRANCH
TXN00000045,ACC00006191,2023-04-03 10:00:54,DEPOSIT,5376.74,POS
TXN00000046,ACC00006152,2023-12-01 12:55:53,TRANSFER,48228.05,POS
TXN00000047,ACC00003124,2023-08-13 02:51:59,PAYMENT,60383.05,ATM
TXN00000048,ACC00002874,2023-09-12 02:42:34,WITHDRAWAL,43840.84,ATM
TXN00000049,ACC00001473,2023-09-19 00:36:26,WITHDRAWAL,36370.41,POS
TXN00000050,ACC00006822,2023-06-18 09:45:11,PAYMENT,93819.16,POS
TXN00000051,ACC00008893,2023-02-10 05:59:36,TRANSFER,9458.09,BRANCH
TXN00000052,ACC00001468,2023-11-11 18:31:11,DEPOSIT,78767.81,ONLINE
TXN00000053,ACC00008626,2023-03-27 09:23:58,TRANSFER,55382.60,BRANCH
TXN00000054,ACC00001106,2023-07-28 07:49:28,DEPOSIT,55961.93,POS
TXN00000055,ACC00006437,2023-07-22 04:37:34,WITHDRAWAL,8525.05,MOBILE
TXN00000056,ACC00004878,2023-02-21 11:16:55,TRANSFER,18587.20,BRANCH
TXN00000057,ACC00001274,2023-09-17 18:09:00,PAYMENT,74694.00,ONLINE
TXN00000058,ACC00000305,2023-02-12 11:34:18,TRANSFER,60288.14,POS
TXN00000059,ACC00005636,2023-05-20 22:48:46,WITHDRAWAL,20659.65,ATM
TXN00000060,ACC00007710,2023-07-25 17:06:32,PAYMENT,43409.72,ATM
TXN00000061,ACC00004872,2023-05-26 01:12:32,TRANSFER,98763.47,ATM
TXN00000062,ACC00001305,2023-11-11 21:31:31,DEPOSIT,74500.95,BRANCH
TXN00000063,ACC00001256,2023-01-07 01:16:03,WITHDRAWAL,86714.07,MOBILE
TXN00000064,ACC00001022,2023-03-23 19:31:20,TRANSFER,44489.60,MOBILE
TXN00000065,ACC00008307,2023-12-19 15:08:27,WITHDRAWAL,413.70,MOBILE
TXN00000066,ACC00009446,2023-12-05 10:35:45,PAYMENT,65995.43,MOBILE
TXN00000067,ACC00001104,2023-08-16 22:23:16,WITHDRAWAL,56325.79,MOBILE
TXN00000068,ACC00004404,2023-01-28 21:08:40,PAYMENT,27573.69,ONLINE
TXN00000069,ACC00007349,2023-04-24 04:38:23,WITHDRAWAL,89690.91,BRANCH
TXN00000070,ACC00005264,2023-09-25 18:46:44,PAYMENT,21321.66,POS
TXN00000071,ACC00008119,2023-03-11 12:13:47,DEPOSIT,33485.72,BRANCH
TXN00000072,ACC00004106,2023-05-02 12:52:49,DEPOSIT,81837.22,ONLINE
TXN00000073,ACC00008948,2023-01-05 13:17:28,WITHDRAWAL,94092.48,ONLINE
TXN00000074,ACC00005837,2023-12-20 17:35:45,TRANSFER,90928.59,BRANCH
TXN00000075,ACC00009081,2023-07-11 15:47:06,WITHDRAWAL,49994.66,ONLINE
TXN00000076,ACC00007920,2023-01-29 23:11:17,TRANSFER,67532.11,ATM
TXN00000077,ACC00007626,2023-02-13 07:25:15,TRANSFER,66237.61,MOBILE
TXN00000078,ACC00008139,2023-03-01 13:07:31,PAYMENT,14343.92,BRANCH
TXN00000079,ACC00000123,2023-04-14 22:14:17,WITHDRAWAL,97960.26,ONLINE
TXN00000080,ACC00005395,2023-02-22 21:40:36,DEPOSIT,40306.58,ONLINE
TXN00000081,ACC00004278,2023-01-24 01:50:57,PAYMENT,68000.57,BRANCH
TXN00000082,ACC00009650,2023-09-06 12:51:28,TRANSFER,14220.76,MOBILE
TXN00000083,ACC00006333,2023-08-30 17:39:32,DEPOSIT,67516.63,POS
TXN00000084,ACC00006698,2023-07-03 00:33:45,TRANSFER,39367.28,BRANCH
TXN00000085,ACC00002365,2023-07-10 18:55:22,PAYMENT,42064.39,ATM
TXN00000086,ACC00006930,2023-02-03 08:18:29,PAYMENT,89235.63,BRANCH
TXN00000087,ACC00002620,2023-12-27 05:52:22,PAYMENT,79637.50,MOBILE
TXN00000088,ACC00006997,2023-07-24 23:43:51,TRANSFER,44557.03,ONLINE
TXN00000089,ACC00000592,2023-08-01 23:47:14,DEPOSIT,17437.12,POS
TXN00000090,ACC00006461,2023-02-27 20:41:32,DEPOSIT,6571.14,BRANCH
TXN00000091,ACC00002239,2023-09-03 07:30:33,WITHDRAWAL,66576.47,ONLINE
TXN00000092,ACC00005218,2023-06-06 01:51:40,WITHDRAWAL,22199.89,MOBILE
TXN00000093,ACC00004107,2023-11-23 08:05:22,WITHDRAWAL,407.30,ATM
TXN00000094,ACC00005247,2023-11-05 10:30:20,WITHDRAWAL,75117.50,ONLINE
TXN00000095,ACC00001273,2023-08-23 04:18:11,DEPOSIT,95183.90,ATM
TXN00000096,ACC00005128,2023-03-05 22:49:45,PAYMENT,24754.90,ONLINE
TXN00000097,ACC00003129,2023-09-20 09:06:17,DEPOSIT,44000.11,ATM
TXN00000098,ACC00004113,2023-03-17 04:48:11,PAYMENT,60109.04,ATM
TXN00000099,ACC00007417,2023-01-02 14:56:49,PAYMENT,9732.51,BRANCH
TXN00000100,ACC00008957,2023-08-02 17:40:29,PAYMENT,2599.74,ATM
TXN00000101,ACC00008606,2023-11-27 22:55:19,TRANSFER,69334.98,BRANCH
TXN00000102,ACC00001069,2023-04-02 04:13:50,WITHDRAWAL,57750.93,ATM
TXN00000103,ACC00004291,2023-09-07 07:17:25,PAYMENT,61109.06,ATM
TXN00000104,ACC00009245,2023-07-27 00:09:52,WITHDRAWAL,40245.91,ATM
TXN00000105,ACC00002728,2023-12-18 06:41:37,DEPOSIT,51417.53,ONLINE
TXN00000106,ACC00006738,2023-04-23 03:59:51,DEPOSIT,66620.14,BRANCH
TXN00000107,ACC00001829,2023-02-22 16:58:55,DEPOSIT,10319.68,POS
TXN00000108,ACC00005694,2023-08-31 13:37:11,WITHDRAWAL,37048.09,BRANCH
TXN00000109,ACC00003814,2023-03-22 14:26:37,PAYMENT,23994.73,MOBILE
TXN00000110,ACC00004121,2023-08-18 00:29:54,DEPOSIT,36530.84,ONLINE
TXN00000111,ACC00007027,2023-02-08 12:37:15,WITHDRAWAL,14077.01,ONLINE
TXN00000112,ACC00003574,2023-05-05 10:13:09,PAYMENT,57075.63,ONLINE
TXN00000113,ACC00008814,2023-05-10 17:43:51,DEPOSIT,33810.87,BRANCH
TXN00000114,ACC00008995,2023-01-04 00:26:38,PAYMENT,934.50,ONLINE
TXN00000115,ACC00001622,2023-10-19 06:36:49,PAYMENT,44565.58,ATM
TXN00000116,ACC00001809,2023-01-16 10:44:20,PAYMENT,96439.45,BRANCH
TXN00000117,ACC00000353,2023-09-08 06:00:40,PAYMENT,20165.54,ONLINE
TXN00000118,ACC00009227,2023-06-13 23:21:54,WITHDRAWAL,57249.90,POS
TXN00000119,ACC00007675,2023-12-15 15:49:24,PAYMENT,54911.54,ONLINE
TXN00000120,ACC00001046,2023-06-11 13:44:55,WITHDRAWAL,88449.35,BRANCH
TXN00000121,ACC00007993,2023-03-23 21:40:04,PAYMENT,7928.36,ONLINE
TXN00000122,ACC00006386,2023-01-13 08:37:06,PAYMENT,64205.42,BRANCH
TXN00000123,ACC00005508,2023-03-17 00:04:49,DEPOSIT,63672.43,ONLINE
TXN00000124,ACC00009443,2023-11-28 03:44:06,PAYMENT,85698.87,ONLINE
TXN00000125,ACC00001665,2023-03-27 07:47:00,DEPOSIT,53318.44,BRANCH
TXN00000126,ACC00000131,2023-02-13 01:30:11,DEPOSIT,19918.52,ONLINE
TXN00000127,ACC00005461,2023-08-18 18:05:07,WITHDRAWAL,16861.43,BRANCH
TXN00000128,ACC00005264,2023-12-27 10:00:26,DEPOSIT,35189.42,ONLINE
TXN00000129,ACC00008350,2023-01-17 18:30:16,TRANSFER,97951.21,ONLINE
TXN00000130,ACC00005492,2023-07-22 18:08:08,TRANSFER,86816.72,ONLINE
TXN00000131,ACC00000155,2023-09-05 13:00:50,TRANSFER,5456.94,BRANCH
TXN00000132,ACC00002675,2023-08-03 04:20:36,PAYMENT,43076.89,ATM
TXN00000133,ACC00006364,2023-03-19 03:46:25,WITHDRAWAL,66144.71,ATM
TXN00000134,ACC00007028,2023-09-10 16:28:08,TRANSFER,85176.66,ONLINE
TXN00000135,ACC00007643,2023-02-06 08:39:10,DEPOSIT,42711.59,MOBILE
TXN00000136,ACC00007607,2023-12-31 15:33:31,TRANSFER,89580.16,ONLINE
TXN00000137,ACC00007757,2023-01-18 17:57:38,TRANSFER,81276.42,ONLINE
TXN00000138,ACC00001648,2023-07-03 16:30:57,WITHDRAWAL,56996.81,ATM
TXN00000139,ACC00005722,2023-01-04 09:34:04,PAYMENT,661.46,BRANCH
TXN00000140,ACC00002802,2023-04-20 23:43:42,WITHDRAWAL,3579.04,ATM
TXN00000141,ACC00000760,2023-11-09 22:41:09,PAYMENT,27056.92,ATM
TXN00000142,ACC00005825,2023-07-08 00:32:49,DEPOSIT,60185.26,ONLINE
TXN00000143,ACC00002124,2023-09-14 03:46:45,WITHDRAWAL,47336.19,MOBILE
TXN00000144,ACC00000165,2023-09-27 16:28:06,WITHDRAWAL,84624.84,POS
TXN00000145,ACC00005055,2023-11-01 23:00:38,PAYMENT,36712.92,ATM
TXN00000146,ACC00002177,2023-06-09 20:05:22,TRANSFER,49995.35,ONLINE
TXN00000147,ACC00009399,2023-07-07 23:25:02,DEPOSIT,82803.48,ATM
TXN00000148,ACC00008417,2023-08-31 17:58:09,WITHDRAWAL,8051.59,POS
TXN00000149,ACC00008847,2023-03-02 00:31:14,PAYMENT,47196.68,POS
TXN00000150,ACC00009697,2023-09-21 01:18:07,WITHDRAWAL,47551.15,ONLINE
TXN00000151,ACC00000695,2023-05-30 21:33:20,PAYMENT,20895.27,BRANCH
TXN00000152,ACC00008483,2023-06-22 08:03:26,TRANSFER,46294.35,BRANCH
TXN00000153,ACC00008432,2023-07-15 01:00:09,DEPOSIT,87030.59,BRANCH
TXN00000154,ACC00009786,2023-09-05 19:43:28,DEPOSIT,24648.65,BRANCH
TXN00000155,ACC00008147,2023-03-31 15:33:29,WITHDRAWAL,34778.32,ONLINE
TXN00000156,ACC00000925,2023-12-16 11:34:34,DEPOSIT,74853.46,ATM
TXN00000157,ACC00004034,2023-01-26 10:36:08,WITHDRAWAL,21528.46,MOBILE
TXN00000158,ACC00000537,2023-03-06 00:00:30,PAYMENT,42624.56,POS
TXN00000159,ACC00001041,2023-04-11 02:46:08,DEPOSIT,99460.40,POS
TXN00000160,ACC00001040,2023-11-16 08:57:24,DEPOSIT,80030.85,BRANCH
TXN00000161,ACC00005480,2023-05-20 13:13:55,WITHDRAWAL,32788.82,POS
TXN00000162,ACC00005357,2023-05-13 16:28:55,PAYMENT,96464.80,ONLINE
TXN00000163,ACC00008318,2023-10-31 17:04:50,WITHDRAWAL,4413.65,POS
TXN00000164,ACC00004734,2023-04-21 13:30:53,DEPOSIT,23047.92,ATM
TXN00000165,ACC00001751,2023-05-18 15:56:24,TRANSFER,51927.16,ATM
TXN00000166,ACC00004106,2023-12-27 11:53:51,TRANSFER,23943.55,MOBILE
TXN00000167,ACC00005270,2023-03-18 08:57:24,DEPOSIT,72351.61,ATM
TXN00000168,ACC00000018,2023-04-20 13:45:19,WITHDRAWAL,71205.44,ATM
TXN00000169,ACC00008383,2023-01-13 17:59:55,WITHDRAWAL,78898.90,MOBILE
TXN00000170,ACC00001042,2023-07-28 01:38:48,WITHDRAWAL,2835.43,ATM
TXN00000171,ACC00006268,2023-04-29 03:07:47,TRANSFER,25354.14,MOBILE
TXN00000172,ACC00006104,2023-06-21 19:21:34,WITHDRAWAL,98965.19,ONLINE
TXN00000173,ACC00002778,2023-09-03 13:29:01,WITHDRAWAL,97317.69,MOBILE
TXN00000174,ACC00001908,2023-12-27 13:24:14,PAYMENT,32616.45,ONLINE
TXN00000175,ACC00001893,2023-02-20 09:49:39,PAYMENT,63405.35,BRANCH
TXN00000176,ACC00003167,2023-09-29 01:41:00,WITHDRAWAL,95680.11,BRANCH
TXN00000177,ACC00007284,2023-12-22 13:42:26,WITHDRAWAL,96366.40,POS
TXN00000178,ACC00008178,2023-08-14 15:02:36,TRANSFER,78606.14,ATM
TXN00000179,ACC00009022,2023-11-18 09:26:37,TRANSFER,94416.01,POS
TXN00000180,ACC00004142,2023-10-28 16:04:06,DEPOSIT,97254.51,ONLINE
TXN00000181,ACC00004163,2023-05-29 13:14:49,DEPOSIT,92732.09,BRANCH
TXN00000182,ACC00001817,2023-04-04 00:30:19,TRANSFER,17233.95,MOBILE
TXN00000183,ACC00009692,2023-12-14 21:41:12,TRANSFER,25606.77,ONLINE
TXN00000184,ACC00003580,2023-01-19 22:41:25,PAYMENT,33786.83,BRANCH
TXN00000185,ACC00008809,2023-06-22 17:00:18,PAYMENT,46006.98,ONLINE
TXN00000186,ACC00003414,2023-02-26 23:36:41,PAYMENT,99501.63,ATM
TXN00000187,ACC00005877,2023-06-17 07:07:52,WITHDRAWAL,22207.02,ATM
TXN00000188,ACC00000003,2023-08-27 01:07:23,DEPOSIT,31006.54,BRANCH
TXN00000189,ACC00009392,2023-08-18 13:33:38,TRANSFER,70277.90,BRANCH
TXN00000190,ACC00004072,2023-12-27 09:18:43,WITHDRAWAL,3309.41,ONLINE
TXN00000191,ACC00005340,2023-05-17 09:20:48,DEPOSIT,8942.17,MOBILE
TXN00000192,ACC00009905,2023-04-22 17:53:11,PAYMENT,65535.97,ATM
TXN00000193,ACC00000878,2023-06-21 15:00:16,TRANSFER,62263.82,POS
TXN00000194,ACC00003600,2023-03-08 07:07:23,DEPOSIT,42028.90,ONLINE
TXN00000195,ACC00005051,2023-08-08 05:54:16,PAYMENT,65814.79,MOBILE
TXN00000196,ACC00002275,2023-09-09 13:40:15,TRANSFER,2154.23,POS
TXN00000197,ACC00003130,2023-10-05 15:41:29,WITHDRAWAL,73005.79,ONLINE
TXN00000198,ACC00005948,2023-10-18 15:33:56,WITHDRAWAL,70123.58,ATM
TXN00000199,ACC00002354,2023-05-14 10:39:10,TRANSFER,33035.31,POS
TXN00000200,ACC00005067,2023-01-15 16:06:40,WITHDRAWAL,62090.94,MOBILE
TXN00000201,ACC00009750,2023-07-01 16:59:38,TRANSFER,98376.19,ATM
TXN00000202,ACC00008320,2023-07-27 20:03:12,DEPOSIT,65940.17,BRANCH
TXN00000203,ACC00001054,2023-03-24 20:22:07,DEPOSIT,9133.61,BRANCH
TXN00000204,ACC00002802,2023-02-23 22:22:08,TRANSFER,8110.10,ONLINE
TXN00000205,ACC00005273,2023-01-06 16:37:47,PAYMENT,89362.75,POS
TXN00000206,ACC00003569,2023-07-29 07:43:58,PAYMENT,1955.13,ONLINE
TXN00000207,ACC00008499,2023-01-26 03:24:21,TRANSFER,90055.96,ATM
TXN00000208,ACC00008204,2023-08-12 02:40:18,PAYMENT,98603.17,BRANCH
TXN00000209,ACC00001909,2023-08-20 22:42:32,DEPOSIT,44836.15,ONLINE
TXN00000210,ACC00009322,2023-01-22 16:13:13,WITHDRAWAL,91089.90,MOBILE
TXN00000211,ACC00009055,2023-12-27 17:07:57,PAYMENT,47866.56,BRANCH
TXN00000212,ACC00002178,2023-03-16 17:25:38,WITHDRAWAL,81830.95,ONLINE
TXN00000213,ACC00008349,2023-12-17 08:52:16,PAYMENT,33673.31,MOBILE
TXN00000214,ACC00008709,2023-06-16 04:04:16,DEPOSIT,49625.24,ONLINE
TXN00000215,ACC00003271,2023-07-11 16:25:06,PAYMENT,52630.99,BRANCH
TXN00000216,ACC00000897,2023-11-03 11:00:15,PAYMENT,81325.31,ONLINE
TXN00000217,ACC00003791,2023-12-25 08:31:22,DEPOSIT,55160.82,POS
TXN00000218,ACC00007277,2023-09-26 11:39:14,PAYMENT,91003.98,BRANCH
TXN00000219,ACC00002247,2023-06-30 19:59:54,WITHDRAWAL,64254.12,POS
TXN00000220,ACC00009110,2023-09-30 21:46:54,PAYMENT,94861.81,POS
TXN00000221,ACC00004661,2023-10-30 18:29:43,PAYMENT,33718.53,ONLINE
TXN00000222,ACC00004758,2023-05-04 22:18:46,WITHDRAWAL,59583.41,ONLINE
TXN00000223,ACC00008419,2023-11-20 01:08:42,DEPOSIT,49333.31,ATM
TXN00000224,ACC00009205,2023-12-13 00:09:47,WITHDRAWAL,28721.21,ONLINE
TXN00000225,ACC00006992,2023-02-19 01:43:58,WITHDRAWAL,47685.57,POS
TXN00000226,ACC00006782,2023-01-01 21:26:30,DEPOSIT,21744.86,ONLINE
TXN00000227,ACC00009995,2023-04-17 04:18:06,PAYMENT,83709.57,POS
TXN00000228,ACC00006846,2023-01-10 13:24:55,DEPOSIT,61557.37,ATM
TXN00000229,ACC00007328,2023-04-12 01:39:56,PAYMENT,15696.65,MOBILE
TXN00000230,ACC00008482,2023-07-19 21:25:45,TRANSFER,76713.79,ATM
TXN00000231,ACC00009243,2023-12-13 20:12:25,DEPOSIT,32017.00,BRANCH
TXN00000232,ACC00002021,2023-02-03 11:03:44,TRANSFER,42911.50,POS
TXN00000233,ACC00003316,2023-04-18 21:27:46,TRANSFER,90824.48,MOBILE
TXN00000234,ACC00000245,2023-06-21 00:30:17,TRANSFER,12444.31,MOBILE
TXN00000235,ACC00005434,2023-08-04 22:25:47,WITHDRAWAL,52651.26,BRANCH
TXN00000236,ACC00006920,2023-05-26 13:47:10,TRANSFER,98085.49,BRANCH
TXN00000237,ACC00007853,2023-03-16 04:38:53,TRANSFER,19266.57,ATM
TXN00000238,ACC00006035,2023-01-04 04:17:05,PAYMENT,8406.01,ATM
TXN00000239,ACC00006196,2023-04-21 04:36:32,DEPOSIT,29313.62,POS
TXN00000240,ACC00001647,2023-02-19 00:25:47,TRANSFER,47441.66,POS
TXN00000241,ACC00009783,2023-06-23 09:50:09,PAYMENT,55269.49,ATM
TXN00000242,ACC00006340,2023-04-15 00:56:17,TRANSFER,10244.19,POS
TXN00000243,ACC00004621,2023-08-26 10:46:47,PAYMENT,43103.29,ONLINE
TXN00000244,ACC00006910,2023-07-04 03:36:16,TRANSFER,44748.08,ATM
TXN00000245,ACC00000137,2023-04-26 03:32:19,WITHDRAWAL,30675.81,POS
TXN00000246,ACC00006595,2023-08-25 01:24:00,DEPOSIT,51644.51,ONLINE
TXN00000247,ACC00005472,2023-03-28 07:32:58,DEPOSIT,38833.28,ONLINE
TXN00000248,ACC00007602,2023-02-25 02:00:43,WITHDRAWAL,89501.02,ATM
TXN00000249,ACC00007158,2023-12-30 17:01:29,TRANSFER,43501.48,BRANCH
TXN00000250,ACC00007834,2023-05-16 13:48:09,DEPOSIT,71611.88,MOBILE
TXN00000251,ACC00009692,2023-09-03 01:00:15,WITHDRAWAL,56547.92,POS
TXN00000252,ACC00005141,2023-03-06 12:37:02,PAYMENT,72100.06,ONLINE
TXN00000253,ACC00002537,2023-11-09 02:50:38,DEPOSIT,28555.16,ONLINE
TXN00000254,ACC00007061,2023-02-26 18:13:55,PAYMENT,88507.99,ONLINE
TXN00000255,ACC00008762,2023-11-17 22:33:48,DEPOSIT,49438.56,ATM
TXN00000256,ACC00000231,2023-08-10 20:47:29,WITHDRAWAL,19330.72,ATM
TXN00000257,ACC00000799,2023-12-09 01:01:12,WITHDRAWAL,71150.62,BRANCH
TXN00000258,ACC00004218,2023-05-04 20:38:19,TRANSFER,15762.52,MOBILE
TXN00000259,ACC00003190,2023-05-20 19:13:13,DEPOSIT,7034.01,POS
TXN00000260,ACC00008912,2023-10-23 23:27:45,PAYMENT,74127.58,BRANCH
TXN00000261,ACC00007345,2023-11-10 20:32:32,DEPOSIT,50184.12,ATM
TXN00000262,ACC00004274,2023-06-26 10:45:38,WITHDRAWAL,67356.27,POS
TXN00000263,ACC00006668,2023-10-02 10:10:49,DEPOSIT,67914.67,ATM
TXN00000264,ACC00005625,2023-03-13 07:10:49,PAYMENT,39546.16,POS
TXN00000265,ACC00005819,2023-11-04 01:09:31,DEPOSIT,57982.87,ONLINE
TXN00000266,ACC00006570,2023-08-19 10:48:50,PAYMENT,32039.95,ATM
TXN00000267,ACC00005630,2023-02-04 01:55:30,PAYMENT,3086.39,BRANCH
TXN00000268,ACC00008531,2023-09-24 08:05:00,TRANSFER,67501.19,POS
TXN00000269,ACC00000502,2023-06-03 04:38:42,WITHDRAWAL,34807.71,BRANCH
TXN00000270,ACC00001875,2023-12-15 00:39:08,PAYMENT,67319.65,MOBILE
TXN00000271,ACC00003213,2023-10-24 16:08:03,DEPOSIT,16524.13,ONLINE
TXN00000272,ACC00009306,2023-11-22 20:55:11,DEPOSIT,56865.78,POS
TXN00000273,ACC00006285,2023-02-05 19:06:38,PAYMENT,86105.19,MOBILE
TXN00000274,ACC00000954,2023-07-23 00:43:57,TRANSFER,64913.03,BRANCH
TXN00000275,ACC00003293,2023-08-14 14:29:37,WITHDRAWAL,93612.80,ONLINE
TXN00000276,ACC00006559,2023-09-08 13:17:49,TRANSFER,99719.37,POS
TXN00000277,ACC00000723,2023-07-08 00:05:32,TRANSFER,9487.92,POS
TXN00000278,ACC00002878,2023-08-21 13:08:42,PAYMENT,67461.96,BRANCH
TXN00000279,ACC00000279,2023-08-09 05:45:54,PAYMENT,67900.69,MOBILE
TXN00000280,ACC00009544,2023-07-18 01:58:19,DEPOSIT,23538.75,BRANCH
TXN00000281,ACC00001765,2023-09-26 16:13:06,TRANSFER,33195.17,ONLINE
TXN00000282,ACC00005085,2023-09-22 14:08:09,PAYMENT,13932.65,ATM
TXN00000283,ACC00005927,2023-10-02 18:38:05,DEPOSIT,15972.97,BRANCH
TXN00000284,ACC00003263,2023-11-02 00:55:18,WITHDRAWAL,92339.06,POS
TXN00000285,ACC00002728,2023-03-23 10:57:37,WITHDRAWAL,73603.11,ATM
TXN00000286,ACC00004349,2023-03-14 05:58:03,WITHDRAWAL,43054.98,ATM
TXN00000287,ACC00001603,2023-11-13 13:54:47,WITHDRAWAL,23736.36,POS
TXN00000288,ACC00001531,2023-02-08 05:09:59,PAYMENT,55272.34,BRANCH
TXN00000289,ACC00009221,2023-02-03 03:11:49,PAYMENT,41246.56,MOBILE
TXN00000290,ACC00004766,2023-01-16 04:47:48,PAYMENT,2966.39,BRANCH
TXN00000291,ACC00003253,2023-08-14 15:46:18,WITHDRAWAL,42832.49,POS
TXN00000292,ACC00000782,2023-09-06 16:50:24,WITHDRAWAL,10407.40,BRANCH
TXN00000293,ACC00006790,2023-04-09 18:07:39,PAYMENT,5422.89,BRANCH
TXN00000294,ACC00001425,2023-09-22 03:49:02,WITHDRAWAL,58560.60,ATM
TXN00000295,ACC00007141,2023-08-17 01:18:49,WITHDRAWAL,88246.06,ONLINE
TXN00000296,ACC00003799,2023-11-02 05:25:52,PAYMENT,9490.49,POS
TXN00000297,ACC00000766,2023-08-04 08:14:54,DEPOSIT,35567.01,ATM
TXN00000298,ACC00005849,2023-12-11 14:12:17,TRANSFER,42562.56,POS
TXN00000299,ACC00006953,2023-03-20 12:58:24,PAYMENT,59889.51,POS
TXN00000300,ACC00004564,2023-07-16 09:24:03,DEPOSIT,90319.11,BRANCH
TXN00000301,ACC00008989,2023-07-14 19:36:45,PAYMENT,37220.60,POS
TXN00000302,ACC00006022,2023-10-21 15:22:11,WITHDRAWAL,52880.88,BRANCH
TXN00000303,ACC00000494,2023-04-11 06:28:39,WITHDRAWAL,58117.31,MOBILE
TXN00000304,ACC00004394,2023-10-24 18:43:54,WITHDRAWAL,9042.55,POS
TXN00000305,ACC00009509,2023-10-28 13:22:11,PAYMENT,72944.08,POS
TXN00000306,ACC00006066,2023-03-11 19:54:21,TRANSFER,57395.72,ATM
TXN00000307,ACC00006674,2023-06-02 09:26:10,DEPOSIT,15651.79,ONLINE
TXN00000308,ACC00001945,2023-01-16 21:48:10,TRANSFER,52988.32,ONLINE
TXN00000309,ACC00004928,2023-01-29 14:15:22,PAYMENT,23561.90,ONLINE
